nombre,direccion,longitud,latitud
CLINICA STELLA MARIS,AVENIDA AV. PASO DE LOS ANDES Nº 923 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05928362,-12.07139763
CRYMEF,JIRÓN JR. BERNINI 287 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0073658,-12.0915315
CENTRO CAMELIAS,AVENIDA AV. JAVIER PRADO ESTE 414 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0296706,-12.092005
CENTRO ESPECIALIZADO EN ODONTOESTOMATOLOGÍA,AVENIDA SIMON BOLIVAR NO165 - PUEBLO LIBRE DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05486358,-12.07455454
CLINICA BENEDICTO XVI,CALLE CALLE SAN LUIS GONZAGA 743 - URB. AZCARRUZ DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00226,-12.021563
SAN PABLO MEDIC CENTER,AVENIDA AV. CANTO GRANDE,-77.00327035,-11.96716717
IPOR CLINICA ESPECIALIZADA ONCOLOGIA & CIRUGIA,JIRÓN JR. EDUARDO ORDOÑEZ Nº 215 - 219 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0074385,-12.1056534
SERLUNG SRL,AVENIDA AV. GREGORIO ESCOBEDO 676-713 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0541078,-12.0859538
CLINICA SAN JUDAS TADEO,CALLE CALLE MANUEL RAYGADA Nº 170 (ANEXO EN CALLE LAUREANO MARTINEZ Nº 140) - URB EL CAMPILLO DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0821207,-12.0798457
CENTRO DIAGNOSTICO MIRAFLORES,AVENIDA AV. ALFREDO BENAVIDES 298 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0495381,-12.0469717
CLINICA VIRGEN DEL ROSARIO SRL,JIRÓN JR. CASTILLA N° 976 DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.072371,-12.087817
LITOTRICIA S.A.C.,CALLE CALLE JAIME HERRERA ARDILES NO.307 1ER PISO DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0735385,-12.0789842
INCA AIR AMBULANCE,AVENIDA AV. MIRAFLORES (28 DE JULIO) Nº 1331 URB. SAN ANTONIO DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.019316,-12.130288
HUMBERTO ANSELMO DIAZ DELGADO,AVENIDA AV. PETIT THOUARS 2842 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0324286,-12.0914296
MARCOS ALONSO MARTIN CHICO BAZAN,OTROS ALFREDO SALAZAR 314 OF. 803 PISO 8 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0391694,-12.1094981
CENTRO DR GALVEZ,AVENIDA AV. CUBA 214 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0385263,-12.0747549
CONSULTORIO MEDICO QUINTO,AVENIDA AV. EMILIO CAVENECIA 225 INT 612 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0385747,-12.1088267
DENTAL BLUE,JIRÓN JR PEDRO CONDE 310 OFICINA 203 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0327901,-12.08792401
POLICLINICO PNP WALTER ROSALES,CALLE CALLE LOS RUISEÑORES S/N - COMPLEJO  PNP ARAMBURU NÚMERO S/N DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0190228,-12.1157347
POLICLINICO I.S.A.,JIRÓN JR. GENERAL ORBEGOSO 419 INT 201 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0516876,-12.0654226
CLINICA SANTA ISABEL,AVENIDA GUARDIA CIVIL NÚMERO 135 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00737837,-12.08939693
MEDSOLUTIONS,AVENIDA AV. FAUSTINO SANCHEZ CARRION 960 (EX AV. PERSHING) - 1ER Y 2DO PISO DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0593246,-12.0952469
MAVIMEDIC,AVENIDA AV LAS ARTES NORTE 1014 OF 202 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-76.995882,-12.08996
MOVIMEDIC,JIRÓN JR. TRUJILLO 690 - URB. SAN FELIPE DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.06074811,-12.08984122
GESTION OPTIMA S.A.C.,CALLE CALLE LAS ORQUÍDEAS 2811 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0357761,-12.0853194
DENTAL ORTOCENTER,CALLE CALLE BURGOS 195 INT 201 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0480221,-12.0895472
CLINICA SAN GABRIEL S.A.C.,AVENIDA AV. LA MARINA 2945-2949-2955-2965 MARANGA- SAN MIGUEL DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.09578,-12.07636667
SOLUMEDICAL,AVENIDA AV. CANADA 3221 - URBANIZACION JAVIER PRADO IV ETAPA DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99669927,-12.0818317
ODONTO MARCES,JIRÓN JIRON FRANCISCO DE ORELLANA 177 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0596924,-12.0653338
CENTRO SONRISAS,CALLE CALLE K N° 125 OF. 201 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00656749,-12.12832947
IPRESS PRO VIDA,AVENIDA AV. BRASIL 3490 DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.069999,-12.0904353
CLÍNICA INTERNACIONAL - SEDE LIMA,JIRÓN JR. WASHINGTON 1471 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03836239,-12.05836675
CLÍNICA VISTA,JIRÓN JIRON CARACAS 2410 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05677251,-12.08542302
RED DE SALUD CLINICA S.A.C.,AV. AREQUIPA 2449 - 2469 - 2491,-77.0355616,-12.0883783
SERVICIOS MEDICOS SAN PABLO,OTROS MZ.N LTE.1 AA.HH.JESUS OROPEZA CHONTA DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00350907,-11.96752927
ESCUELA PARA EMBARAZADAS,AVENIDA AV JOSE PARDO 541 OF 110 AV JOSE PARDO 541 OF 110 MIRAFLORES LIMA LIMA,-77.034183,-12.1192502
PIERRE FAUCHARD,JIRÓN JR BELISARIO FLORES 134 1ER PISO DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0365047,-12.0815231
POLICLINICO SAN RAMON,AVENIDA AV DEL AIRE Nº 1005 - URB TUPAC AMARU DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00157895,-12.07967555
MEDICENTRO COLMENA DE LA CLÍNICA INTERNACIONAL,AVENIDA AV. NICOLAS DE PIEROLA (EX-AV.COLMENA) N°727-733 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03688718,-12.05000441
CONSULTORIO DENTAL PETIRROJOS,CALLE CALLE LOS PETIRROJOS Nº 438  URB. CORPAC - SAN ISIDRO DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0150825,-12.0946734
SERVICIOS MÉDICOS DR. SERVAN,AVENIDA AV. GRAU NRO. 1021,-77.021637,-12.05782
CONSULTORIO DENTAL PAZ,CALLE CALLE CAPAC LLAUTO Nº 281,-76.99547655,-12.02524637
SOLIDENT,AVENIDA AV. CANEVARO 388 INT 305 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0356452,-12.0848154
MEDIC CENTER POLICLINICO,AVENIDA AV. EMANCIPACIÓN 226,-77.034526,-12.0480609
INCOR,JIRÓN JIRON CORONEL FÉLIX ZEGARRA Nº.S 397-417-455-465-491-495 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0398868,-12.0768185
DENTAL SYSTEM E.I.R.L.,CALLE CALLE ALFA AGUILA 108 (CONSULTORIO 03) URB LA CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00353164,-12.11813122
FEMEVA,AVENIDA AV.JAVIER PRADO ESTE 1010 INT. 904 SAN ISIDRO DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0183295,-12.0905573
OFTALMICA S.A,AVENIDA SAN BORJA NORTE NÚMERO 783 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99929344,-12.09412063
CONSULTORIO DENTAL DENTO GROUP,AVENIDA AV. GRAN CHIMU 1399 DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9887557,-12.0241241
CONSULTORIO PREVENCION Y SALUD,OTROS MZ G-8 LOTE 18 A.A.H.H JOSE CARLOS MARIATEGUI MZ G-8 LOTE 18 A.A.H.H JOSE CARLOS MARIATEGUI SAN JUAN DE LURIGANCHO LIMA LIMA,-76.98465384,-11.9459833
CASTILLA SERVICIO DENTAL,AVENIDA AV SAN LUIS 1425 PRIMER PISO DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.997483,-12.0810269
RESPIRA SALUD OCUPACIONAL,AVENIDA AV. SAN EUGENIO N° 899 URB. SANTA CATALINA AV. SAN EUGENIO N° 899 URB. SANTA CATALINA LA VICTORIA LIMA LIMA,-77.0170184,-12.0852585
CENTRO DE VACUNACIÓN DE LA CLINICA DELGADO,AVENIDA AV. ANGAMOS OESTE N°450 - 490,-77.033148,-12.1131663
MJM ODONTOLOGOS SAC,AVENIDA AVIACION 2747 2747 OF 301 SAN BORJA LIMA LIMA,-77.0024533,-12.095375
HEALTHCARE GROUP PERU SAC,AVENIDA AV. RAFAEL ESCARDO 591 URB. MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0927254,-12.07536914
CONSULTORIO ABRIL,AVENIDA AV. SANTUARIO NRO. 1591 URB. MANGOMARCA DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9855022,-12.0204884
IMUNOLAB PERU,CALLE CALLE CORONEL LEÓN VELARDE N° 605,-77.0408487,-12.0833985
CENTRO DE EXCELENCIA EN REUMATOLOGÍA,JIRÓN JR. BENOZZO DI LESE DI SANDRO GOZZOLI NORTE 296,-77.00632154,-12.10175881
 ORIENTACIÓN Y CONSEJERÍA PSICOLÓGICA ESPECIALIZADA EN DROGA,AVENIDA AV. BENAVIDES 2199 - B DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.009895,-12.1275129
CYTOMETRIC BIOSERVICES,AVENIDA DEL AIRE NÚMERO 1308 DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99716098,-12.07746695
POLICLINICO TOBALMO S.A.C.,AVENIDA AVENIDA PROCERES DE LA INDEPENDENCIA Nº 1461. URB. LOS JARDINES DE SAN JUAN DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0034367,-12.0104398
POLICLINICO LIMA MEDICAL CENTER,JIRÓN JIRON LOS SOCIOLOGOS MZ E LOTE 11 COOP. DE VIVIENDA LA UNION DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.98958802,-11.97010353
CONSULTORIO DENTAL SAGRADA FAMILIA,AVENIDA AV.GR. CHIMU 1384 ZARATE DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9895632,-12.0243802
CLINICA DR AUGUSTO CACERES CABELLO-PIEL Y MEDICINA ESTETICA,AVENIDA AV SUCRE 899 - MAGDALENA DEL MAR AV SUCRE 899 - MAGDALENA DEL MAR MAGDALENA DEL MAR LIMA LIMA,-77.0698192,-12.0901843
CONSULTORIO ODONTOLOGICO COBBA,AVENIDA AV. PRÓCERES DE LA INDEPENDENCIA Nº 162-B DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.01028178,-12.02630407
CESIAMED, LOTE 04 URB. MANUEL SCORZA,-76.9671865,-12.0181791
CONSULTORIO ODONTOLOGICO,AVENIDA AVENIDA BRASIL 345 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0433554,-12.0626114
CONSULTORIO OBSTETRICO PREVENTIVO YO MUJER,CALLE CALLE 13 MZ. D-1,-76.9939836,-11.9689301
INTAC,CALLE CALLE FERMIN TANGÛIS 143 / SANTA CATALINA DISTRITO LA VICTORIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.01201676,-12.08091658
OFTALMÓLOGOS CONTRERAS C. SCRL,AVENIDA AV. JAVIER PRADO ESTE Nº 1038 INTERIOR 1001-1002 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.018636,-12.091248
CENTRO ODONTOLOGICO AMERICANO - ESPECIALIDADES ARONA,AVENIDA JUAN DE ARONA N?ERO 402 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0303789,-12.0968503
HOGAR CLINICA SAN JUAN DE DIOS,AVENIDA NICOLAS ARRIOLA NÚMERO 3250 DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9896222,-12.0655032
CASA LA VISITACION SALUD Y SERVICIO,AVENIDA GUILLERMO DANSEY NÚMERO 534 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0462473,-12.0451984
SISOL SALUD LA VICTORIA,AVENIDA MANCO CAPAC NÚMERO 218 DISTRITO LA VICTORIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0297089,-12.0608683
SERVIMEDIC,JIRÓN FRANCISCO DE ZELA NÚMERO 2480 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03923679,-12.08961042
CENTRO MEDICO UROZEN,AVENIDA Javier Prado Este NÚMERO 3028 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99331201,-12.08696146
TODOORTODONCIA,AVENIDA PETIT THOUARS 3120 SAN ISIDRO LIMA LIMA,-77.0320186,-12.093724
CONSULTORIO MÉDICO  MALLAUPOMA,AVENIDA ALVAREZ DE ARENALES,-77.0358194,-12.0838876
CLINICA UNIDERMA PERU,AVENIDA CUBA NÚMERO 863 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0438757,-12.0756967
G&G CONSULTORIOS E.I.R.L,CALLE MARTIN DE MURUA NÚMERO 150 PISO 5 DEPARTAMENTO 503 URBANIZACIÓN MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.09096091,-12.07634991
DERMA LINE S.A.C.,JIRÓN JOAQUIN VALVERDE NÚMERO 299 MANZANA J13 LOTE 10 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-76.99668086,-12.09970508
SKINLUTION,CALLE LEONIDAS YEROVI NÚMERO 106 PISO 4 DEPARTAMENTO 42 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0406029,-12.1059411
OISO,CALLE GABRIELA MISTRAL NÚMERO 216 PISO 1 DEPARTAMENTO 101 INTERIOR 201 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00568772,-12.11346038
MEDICINA FÍSICA Y REHABILITACIÓN JESUS MARIA,AVENIDA JOSE MARIA PLAZA 187 1 JESUS MARIA LIMA LIMA,-77.04794324,-12.06672883
SERVIMEDIC S.P.S,AVENIDA GENERAL TRINIDAD MORAN NÚMERO 616 628 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0383385,-12.0896007
CEOSAVIS,JIRÓN antonio miroquesada NÚMERO 121 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0324112,-12.0481611
NEOMEDICA,AVENIDA Larco N?ERO 743 PISO 8 DEPARTAMENTO 801 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0293011,-12.1249767
C.M PERPETUO SOCORRO,JIRÓN LEGION PERUANA NÚMERO 170 PISO 1 URBANIZACIÓN AA. HH. DOS DE MAYO DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0507244,-12.0368507
CDRAV.EIRL,AVENIDA GUARDIA CIVIL N?ERO 356 PISO 1 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0089613,-12.0920049
CERDENT,AVENIDA FAUSTINO SANCHEZ CARRION 615,-77.0581673,-12.0892785
CONSULTORIO PERUANO CUBANO,AVENIDA BRASIL NÚMERO 2021 PISO 1 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0571084,-12.079411
SYSLAB SAC,CALLE CAYETANO HEREDIA NÚMERO 482B DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0523213,-12.079737
CDENTALIS,JIRÓN Diego de Almagro NÚMERO 603 PISO 2 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0555786,-12.0859002
QARAMEDIC -DERMATOLOGIA INTEGRAL,OTROS PARQUE GONZALES PRADA NÚMERO 295 DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0662708,-12.0935729
PERIO IMPLANT,AVENIDA MARISCAL OSCAR R BENAVIDES (EX AVENIDA DIAGONAL) NÚMERO 380 PISO 4 DEPARTAMENTO 402 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0307864,-12.121386
CENTRO MÉDICO ANTROPOSÓFICO,JIRÓN Francisco de Zela NÚMERO 2672 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03908927,-12.09090604
BARBOZA DERM S. CIVIL DE R.L.,CALLE ENRIQUE PALACIOS NÚMERO 420 PISO 3 DEPARTAMENTO 301 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0328358,-12.1168818
INBIOMEDIC SAC,JIRÓN JOSE DE LA TORRE UGARTE NÚMERO 166 PISO 1 DEPARTAMENTO 102 INTERIOR 102 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.031527,-12.0887966
CAMNSA,AVENIDA GUARDIA CIVIL NÚMERO 227 PISO 5 DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0079063,-12.0904178
RESONANCIA MAGNETICA SERVAN,AVENIDA GRAU NÚMERO 1005 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0217619,-12.0578749
RED PAT SAC,AVENIDA SUCRE NÚMERO 861 PISO 0 DEPARTAMENTO 0 INTERIOR 0 MANZANA 0 LOTE 0 KILOMETRO 0 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.06583894,-12.07986421
DENTAL SALUTE,AVENIDA CANTO REY NÚMERO 408 B INTERIOR 203 URBANIZACIÓN APV GARAGAY CANTO REY DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.00002801,-11.97548722
CENTRO MEDICO JL SAN PEDRO,AVENIDA ALFONSO UGARTE NÚMERO 1378 PISO 2 DEPARTAMENTO 202 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.053568,-12.0502081
POLICLINICO BIENESTAR LABORAL,CALLE Víctor Bazul NÚMERO 119  121 URBANIZACIÓN Santa Catalina DISTRITO LA VICTORIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0127272,-12.0884558
IDM,CALLE ELIAS AGUIRRE NÚMERO 605 DEPARTAMENTO 401 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0347327,-12.1158891
OAKLAND DENTAL,AVENIDA DEL EJERCITO NÚMERO 986 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0491649,-12.1124277
CENTRO ODONTOLOGICO AMERICANO - AURORA ESPECIALIDADES,AVENIDA ROOSEVELT NÚMERO 5790 PISO 3 INTERIOR 301 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0185054,-12.1213736
LABORAL MEDICAL SERVICES E.I.R.L,AVENIDA CANADÁ NÚMERO 3873 3877 URBANIZACIÓN VILLA JARDIN DISTRITO SAN LUIS PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9916115,-12.0793661
SISALUD,JIRÓN Pezet y monel NÚMERO 1838 DEPARTAMENTO 201 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0427002,-12.0840263
CENTRO ODONTOLÓGICO DE LA UNIVERSIDAD CIENTIFICA DEL SUR - DENTAL CIENTIFICA,AVENIDA Paseo de la República NÚMERO 5514 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.02613152,-12.11941074
LIMA MET CLINIC S.A.C.,CALLE DOS DE MAYO NÚMERO 516 DEPARTAMENTO 603 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0338754,-12.1179728
PATOLOGOS CONSULTORES SAC,JIRÓN CAMANA NÚMERO 700 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0353619,-12.0493589
IMAX,JIRÓN MARISCAL ORBEGOSO NÚMERO 292 PISO 2 DEPARTAMENTO 209 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.05017484,-12.06641407
CREANDO SONRISAS,AVENIDA CAYETANO HEREDIA NÚMERO 183 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0544978,-12.0776333
CEDIGRAN,AVENIDA GRAN CHIMU NÚMERO 204 / 206 MANZANA Ñ-1 LOTE 02 URBANIZACIÓN ZARATE DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9844677,-12.0134015
CLÍNICA CORPORACIÓN DE CIRUJANOS PLÁSTICOS,CALLE GENERAL VIDAL NÚMERO 241 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.02818136,-12.11438053
JAR PHYSIO,AVENIDA JAVIER MARIATEGUI NÚMERO 1204 PISO 1 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.047295,-12.077136
CONSULTORIOS EXTERNOS ANGLO AMERICANA,AVENIDA EMILIO CAVENECIA NÚMERO 250 URBANIZACIÓN CHACARILLA SANTA CRUZ DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0386698,-12.1085405
CONSULTORIO MEDICO CAMARENA,OTROS PUEBLO JOVEN ENRIQUE MONTENEGRO MANZANA I LOTE 8 DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.96943731,-11.9381703
SMILE'S FACTORY,CALLE ALFREDO MALDONADO 646 PISO 1 DISTRITO PUEBLO LIBRE PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0605161,-12.0744453
CHIS DENTAL,AVENIDA ALFREDO BENAVIDES NÚMERO 1180 PISO 1 INTERIOR 101 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA,-77.02056057,-12.12604015
