NOMBRE COMERCIAL,DIRECCION,Longitud,Latitud,Costo
BOTICA BELEN,AV. UCAYALI 192  VILLA HERMOSA,-77.01145145,-12.03112268,Economico
BOTICA BELEN,AV. REVOLUCION 1782  COLLIQUE III ETAPA,-77.04237498,-12.05753,Economico
BOTICA BETEL,A.H. NUEVO PROGRESO  MZ. L,-77.0685741,-12.0545097,Economico
BOTICA BETHANIA,ASOC. DE VIV. SAN JOSE VICENTELO BAJO  MZ.B,-77.07671932,-11.8670107,Costoso
BOTICA BETS PHARMA,CALLE JUSTO PASTOR BRAVO 109  BARRIO OBRERO,-77.0383869,-11.8967637,Costoso
BOTICA BETTY,AA.HH. LA ENSENADA DE CHILLON MZ. C,-77.00787372,-12.08970746,Economico
BOTICA BIEN DE SALUD,AV. MIGUEL IGLESIAS 895  SAN JUAN,-77.0578048,-11.9704746,Costoso
BOTICA BIOFARMA,AV. MARIANO MELGAR  MZ. F,-77.03344579,-12.09041757,Economico
BOTICA BIOMEDICA,BARRIO. 4,-77.0014054,-12.1015439,Economico
BOTICA BLANCA EMILIA,AV. WIESSE S/N AMPLIACION  MZ.S-17,-77.03895,-12.091218,Economico
BOTICA BOLOGNESI,AV. ALFONSO UGARTE 348,-77.0932283,-11.9955648,Costoso
BOTICA BOLOGNESI,AV. FRANCISCO BOLOGNESI 141,-77.0460843,-12.0466246,Costoso
BOTICA BOTICA`S JAHNSEN S.R.L.,JR. PABLO BERMUDEZ 218,-77.071742,-11.977946,Costoso
BOTICA BOTICA`S LIDER FARMA,AV. SOL DE NARANJAL  MZ.A,-77.08357,-11.855234,Costoso
BOTICA BOTICA`S PHARMA VIDA S.A.C.,AV. LAS ALMENDRAS 291  NARANJAL,-77.0719162,-11.8655442,Costoso
BOTICA BOTICA`S SHIMBE,AV. JOSE CARLOS MARIATEGUI  MZ.P,-77.0594065,-11.9856863,Costoso
BOTICA BOTICAS  POLO  S.R.L.,AV. EL POLO CENTRO,-77.0599203,-11.9421146,Costoso
BOTICA BOTICAS & SALUD,JR. CASTILLA 659,-76.9918475,-12.0041384,Economico
BOTICA BOTICAS & SALUD,AV. GRAN CHIMU 392-A  ZARATE,-77.0058047,-11.9767362,Economico
BOTICA BOTICAS & SALUD,AV. TUPAC AMARU 1015  HUAQUILLAY,-77.02400451,-12.11349791,Economico
BOTICA BOTICAS & SALUD,AV. LAS VIOLETAS 780,-77.00867693,-12.08910016,Economico
BOTICA BOTICAS & SALUD,AV. MIGUEL GRAU 409,-77.0636409,-12.0647601,Economico
BOTICA BOTICAS & SALUD,AV. HONORIO DELGADO 285  INGENIERIA,-76.9946449,-12.0954417,Economico
BOTICA BOTICAS & SALUD,AV. SUCRE 614,-77.0435289,-12.0750295,Economico
BOTICA BOTICAS & SALUD,AV. CENTRAL 145,-76.9968294,-12.1117273,Economico
BOTICA BOTICAS & SALUD,AV. GRAN CHIMU 690  ZARATE,-77.0386737,-12.0899054,Economico
BOTICA BOTICAS & SALUD,URBANIZACION. LA VIRREYNA  MZ. C,-77.0720858,-12.08964452,Economico
BOTICA BOTICAS & SALUD,AV. DIEZ CANSECO 600  SAN ANTONIO,-77.01781667,-12.05660931,Economico
BOTICA BOTICAS & SALUD,AV. BRASIL Nº 3296 ESQ. CON JR. JUNIN Nº 106 3296  OYAGUE,-77.037126,-12.082819,Economico
BOTICA BOTICAS & SALUD,AV. PASEO DE LA REPUBLICA 5509,-76.99093959,-11.9649957,Economico
BOTICA BOTICAS & SALUD,JR. TEMPLO DE ASPERO 358  MANGOMARCA BAJA,-77.0425386,-12.0516943,Economico
BOTICA BOTICAS & SALUD,AV. DEFENSORES DEL MORRO 490,-77.05818392,-12.09220166,Economico
BOTICA BOTICAS & SALUD,AV. ANDRES ARAMBURU 225,-77.02076741,-12.12354309,Economico
BOTICA BOTICAS & SALUD,ED. CENTRO COMERCIAL Nº 108,-77.06460607,-12.07246154,Economico
BOTICA BOTICAS & SALUD,AV. GENERAL CANEVARO 398,-77.0289116,-12.1209068,Economico
BOTICA BOTICAS & SALUD,AV. LAS ALONDRAS 177,-76.96989125,-11.9339508,Economico
BOTICA BOTICAS & SALUD,AV. AREQUIPA 2300,-77.06185184,-12.07194319,Economico
BOTICA BOTICAS & SALUD,AV. PETIT THOUARS 4494,-77.0066878,-12.0040406,Economico
BOTICA BOTICAS & SALUD,AV. ABANCAY 700,-76.98232,-11.9556958,Economico
BOTICA BOTICAS & SALUD,AV. SAN LUIS 2039,-77.0957921,-12.0766003,Economico
BOTICA BOTICAS & SALUD,JR. LORETO 497,-77.0347337,-12.1148632,Costoso
BOTICA BOTICAS & SALUD,AV. TUPAC AMARU 961  HUAQUILLAY,-77.05975569,-12.06536227,Costoso
BOTICA BOTICAS & SALUD,CALLE. SIMON SALGUERO 561  LAS MANZANAS,-77.06249691,-11.94150651,Costoso
BOTICA BOTICAS & SALUD,AV. SAN JUAN 1150  SAN JUAN,-77.07199997,-11.99099373,Costoso
BOTICA BOTICAS & SALUD,AV. HONORIO DELGADO 325  INGENIERIA,-77.0803561,-11.9956326,Costoso
BOTICA BOTICAS & SALUD,CALLE JOSE OLAYA 179  SALAMANCA DE MONTERRICO,-77.068366,-11.9909582,Costoso
BOTICA BOTICAS & SALUD,AV. JOSE GALVEZ BARRENECHEA 496  CORPAC,-77.0761367,-11.9600435,Costoso
BOTICA BOTICAS & SALUD,CALLE. CAPITAN CARLOS MARTINEZ 120  SAN ROQUE,-77.053568,-12.0502081,Costoso
BOTICA BOTICAS & SALUD,JR. PARURO 937,-77.087022,-11.9694263,Costoso
BOTICA BOTICAS & SALUD,AV. JULIO C. TELLO 980,-77.07203752,-11.93954101,Costoso
BOTICA BOTICAS & SALUD,AV. PALERMO 541,-77.0396598,-11.979306,Costoso
BOTICA BOTICAS & SALUD,JR. LEONCIO PRADO 768,-77.045511,-11.9722396,Costoso
BOTICA BOTICAS AFJA,AV. DE LOS HEROES 1184 - 1186,-77.0345973,-12.0744118,Economico
BOTICA BOTICAS ARCANGEL,AV. CANADA 1689  SANTA CATALINA,-77.0293361,-12.1241585,Economico
BOTICA BOTICAS BRISTOL,AV. VARGAS MACHUCA 116,-77.06151924,-12.05428397,Costoso
BOTICA BOTICAS C FARMA,AV. 13 DE ENERO 2604  SAN CARLOS,-77.0829739,-12.0314495,Costoso
BOTICA BOTICAS CRISTHIAN S.A.C.,AV. PETIT THOUARS 4099,-77.037336,-11.930841,Costoso
BOTICA BOTICAS D`OPELUCE,AV. AREQUIPA 1885,-77.069999,-12.0904353,Costoso
BOTICA BOTICAS DE S/.1.00,JR. AREQUIPA 259,-77.0463824,-12.0820595,Costoso
BOTICA BOTICAS DEL AHORRO,AV. LOS LIRIOS 335,-77.0781105,-11.8634394,Costoso
BOTICA BOTICAS DEL PUEBLO,AV. VENEZUELA 928  CHACRA COLORADA,-77.06465474,-12.08859674,Economico
BOTICA BOTICAS DEL PUEBLO,AV. CESAR VALLEJO 1517  TAYACAJA,-77.0427933,-12.046374,Costoso
BOTICA BOTICAS DEL PUEBLO,PROLONGACION AV. SAN JUAN NUEVO HORIZONTE  MZ. 24,-77.02955803,-12.01725205,Costoso
BOTICA BOTICAS DEL PUEBLO,CALLE LOPEZ DE SOLIS # 135 -AV.BRASIL CDRA.4110,-77.05809808,-12.02939254,Costoso
BOTICA BOTICAS DEL PUEBLO,SECTOR. 2,-77.05262984,-11.95569069,Costoso
BOTICA BOTICAS DENIS,JR. AUGUSTO DURAND 2699,-77.0708193,-11.9744568,Costoso
BOTICA BOTICAS EMERGENCIA 24 HORAS S.A.C.,JR. LAS ALCAPARRA 476  LAS FLORES,-77.0718924,-11.98277,Costoso
BOTICA BOTICAS EVELYN,JR. PUNO- BARRIOS ALTOS 1144,-77.07149605,-12.01405771,Costoso
BOTICA BOTICAS FARMA SALVADOR,JR. SAN JUAN BAUTISTA 576  PALAO,-77.079335,-11.8631805,Costoso
BOTICA BOTICAS FASA,CALLE LAS BEGONIAS 650 - 654,-77.0036037,-12.1014141,Economico
BOTICA BOTICAS FASA,AV. COMANDANTE ESPINAR 850,-77.0377829,-12.0693989,Economico
BOTICA BOTICAS FASA,AV. CAMINOS DEL INCA 331 TIENDA. 103,-77.0358194,-12.0838876,Economico
BOTICA BOTICAS FASA,JR. DE LA UNION 493,-77.0605123,-12.0934951,Economico
BOTICA BOTICAS FASA,JR. LAS ALONDRAS 191,-77.0427857,-12.054682,Economico
BOTICA BOTICAS FASA,PSJ. FAUSTINO SANCHEZ CARRION 102,-77.0065573,-11.9942159,Economico
BOTICA BOTICAS FASA,AV. GENERAL JUAN  ANTONIO PEZET 1391,-77.03589934,-12.07609472,Economico
BOTICA BOTICAS FASA,AV. JAVIER PRADO OESTE 994,-77.053541,-11.9299805,Costoso
BOTICA BOTICAS FASA,AV. BENAVIDES 4670  VISTA ALEGRE,-77.0757266,-12.0086397,Costoso
BOTICA BOTICAS FEBAN,JR. CAMANA 398,-77.044228,-12.0282877,Costoso
BOTICA BOTICAS FLORES,AV HUANDOY  MZ M 2,-77.0471573,-11.9402602,Costoso
BOTICA BOTICAS G Y M,AV. AVIACION 4036,-77.03883,-11.92913,Costoso
BOTICA BOTICAS GOLIAT,AV. TUPAC AMARU 1200,-76.9997294,-12.0620385,Economico
BOTICA BOTICAS GOLIAT,AV. SANTA ROSA  MZ. A,-77.0801932,-11.8626191,Costoso
BOTICA BOTICAS GOLIAT,AV. LAS FLORES DE PRIMAVERA 670,-77.034336,-11.901217,Costoso
BOTICA BOTICAS INKAFARMA,AV. MIGUEL IGLESIAS 929 INT. A,-77.0694925,-11.9710213,Costoso
BOTICA BOTICAS LU+YO FARMA,PLAZA DOS DE MAYO 48-A,-77.05545343,-12.02349921,Costoso
BOTICA BOTICAS M Y F,AAHH DANIEL ALCIDES CARRION  MZ L LT 3,-77.0530529,-11.958359,Costoso
BOTICA BOTICAS MAX MAS SALUD,AV. ANGELICA GAMARRA,-77.0503715,-12.071132,Economico
BOTICA BOTICAS MAYTE,GRUPO. 23,-77.0656999,-11.9347565,Costoso
BOTICA BOTICAS MEDICFARMA,JR. EL LANZON 298  ZARATE,-77.0786444,-11.97748163,Costoso
BOTICA BOTICAS MEGAMEDIC,AV. HONDURAS 232  EL PARRAL,-77.038293,-11.897433,Costoso
BOTICA BOTICAS MI BARRIO,AV. JOSE GABRIEL CONDORCANQUI 1190 A  TUPAC AMARU,-77.0342302,-12.0850796,Costoso
BOTICA BOTICAS MI SALUD,AV LUNA PIZARRO 206  INGENIERIA 5TA ETAPA,-77.00087584,-12.0757621,Economico
BOTICA BOTICAS MI SALUD,AV. ANTUNEZ DE MAYOLO 1072  EL MERCURIO,-77.0279322,-12.0539128,Economico
BOTICA BOTICAS MI SALUD,AV. UNIVERSITARIA NORTE 8150  SAN AGUSTIN,-77.069835,-11.990575,Costoso
BOTICA BOTICAS MIFARMA,AV. CARLOS IZAGUIRRE 914  LAS PALMERAS,-77.0334394,-12.0885042,Economico
BOTICA BOTICAS MIFARMA,CALLE LAS TIENDAS 237,-77.062838,-11.9838236,Costoso
BOTICA BOTICAS PAQUITA,AV. CESAR VALLEJO 1487,-77.053568,-12.0502081,Economico
BOTICA BOTICAS PAQUITA,AV. JOSE CARLOS MARIATEGUI 2166  COOP. VIV. HUANCAYO II,-76.9996084,-11.9567853,Economico
BOTICA BOTICAS PHARMAMEDIC PERU S.R.L,PROLONGACION HUANUCO 1616,-77.0129107,-12.0325307,Costoso
BOTICA BOTICAS PHARMAMEDIC PERU S.R.L.,PROLONGACION HUANUCO 2090,-76.9920967,-12.1060763,Economico
BOTICA BOTICAS R & G,AV SANTA ROSA DE LIMA 2030  INCA MANCO CAPAC,-77.07885302,-11.98157847,Costoso
BOTICA BOTICAS REDSALUD,JR PACASMAYO 3512,-77.0785731,-12.0179051,Costoso
BOTICA BOTICAS REMFARMA PERU,AV. CONFRATERNIDAD  MZ. J LTE. 22 SANTA ANA,-77.032585,-12.0971829,Economico
BOTICA BOTICAS SAN MIGUEL ARCANGEL,JR. HUANCAVELICA 3798,-77.07169957,-11.86836383,Costoso
BOTICA BOTICAS SAN PEDRO,JR. DOMINGO SARMIENTO 387,-77.0207836,-12.0655878,Economico
BOTICA BOTICAS SEÑOR DE LOS MILAGROS S.A.C.,JR. ANDAHUAYLAS 306,-77.053722,-11.9594558,Costoso
BOTICA BOTICAS SERFARMA,AV. CARLOS IZAGUIRRE Nº 519 COO. MAGDALENA,-77.0471714,-11.8184648,Costoso
BOTICA BOTICAS UNIFAR,AV. SAN JUAN 1040 - A,-77.031498,-12.1175333,Economico
BOTICA BOTIFARMA 1,JR. MARIANO ARREDONDO 2759  LOS CIPRECES,-77.0725491,-12.0079352,Costoso
BOTICA BOTIKAS HOMEOPERU,PJ.TARATA 237,-77.0284586,-12.0911891,Economico
BOTICA BOTIKAS HOMEOPERU,AV. ARENALES 2426,-77.018626,-12.112625,Economico
BOTICA BOTIKAS HOMEOPERU,AV. AVIACION 3234  LAS MAGNOLIAS,-77.05732322,-12.08477959,Economico
BOTICA BRASIL,AV. BRASIL 586,-77.0181231,-12.0906808,Economico
BOTICA BRENDA,CARRETERA CENTRAL  MZ.B,-77.0109956,-11.9667218,Economico
Botica Bristol S.A.C.,Av. Alfonso Ugarte 755  Cercado de Lima 15001  Peru,-77.0422261,-12.0490249,Costoso
Botica Btl,Av. NicolÃ¡s de PiÃ©rola 788  Cercado de Lima 15001  Peru,-77.0363235,-12.0507013,Costoso
BOTICA C & A FARMA,AV.LA GLORIA PARCELA 13  MZ.A,-77.035707,-12.08330533,Costoso
BOTICA C. ROJAS,AA.HH. MARIA PARADO DE BELLIDO  MZ.J,-77.0406199,-12.0844829,Economico
BOTICA C. TELLO,AV. JULIO C. TELLO  MZ. 05,-77.0090939,-12.099803,Economico
BOTICA C.M.E.S.F. S.A.C.,GRUPO. 14,-77.0378745,-11.8978559,Costoso
BOTICA CADENA  PERUANA DE BOTICAS FARMACENTRO S.A.C,AV. EMANCIPACION 766,-77.0776032,-11.970078,Costoso
BOTICA CADENA DE BOTICAS + AHORRO,JR. LEONCIO PRADO 754,-77.06562916,-11.99289373,Costoso
BOTICA CADENA DE BOTICAS AMERICA SALUD,JR. JOSE ARNALDO MARQUEZ Nº 1300 CON ESQ. REPUBLICANA DOMINICANA CDRA. 2,-77.01394356,-11.9992687,Economico
BOTICA CADENA PERUANA DE BOTICAS HIBER PHARMA S.A.,P.J. JUAN VELASCO S/N 21,-77.06950016,-11.88714282,Costoso
BOTICA CADIA,AV. PROCERES  MZ.  F2  LTE. 39 ALMEDA DE VILLASOL,-77.00314966,-11.96698349,Economico
BOTICA CAMARA,JR. BOLOGNESI 334,-77.0385183,-12.1085033,Economico
BOTICA CAMIFARMA,JR. MACCHU PICCHU  MZ. 72,-77.04774624,-12.11376055,Economico
BOTICA CANADA,AV. JOSE CARLOS MARIATEGUI,-77.06196255,-12.10073084,Economico
BOTICA CAPRINA,AV. SAN JUAN 1078 101,-77.0425597,-12.0498454,Economico
BOTICA CAQUETA,AV.CAQUETA 920,-77.0543242,-12.0861394,Costoso
BOTICA CARLITA´S,AV. ALFONSO UGARTE 400-404,-77.0986383,-12.0687169,Economico
BOTICA CARLITOS,AV. LIMA 435  CAJA DE AGUA,-77.0534669,-12.0981344,Economico
